name,maxstreak,startcomp,endcomp,days
Francesco Ballan,1,CarpiGoesBig2022,ongoing,8
Giuseppe Ballan,1,CarpiGoesBig2022,ongoing,8
Davide Lucchese,1,CarpiGoesBig2022,ongoing,8
Alessandro Coati,1,CarpiGoesBig2022,ongoing,8
Alessandro Di Criscio,1,CarpiGoesBig2022,ongoing,8
Astrid Katherine Salfa,1,SPQROpen2022,ongoing,50
Federica Iorio,1,SPQROpen2022,ongoing,50
Massimo Montanari,1,SPQROpen2022,ongoing,50
Simone Bruscino,1,SPQROpen2022,ongoing,50
Iacopo Meli,1,SPQROpen2022,ongoing,50
Alma Lidia Quaggia,1,SPQROpen2022,ongoing,50
Simone Albano,1,SPQROpen2022,ongoing,50
Gabriele Salvi,1,SPQROpen2022,ongoing,50
Tommaso Meloni,1,SPQROpen2022,ongoing,50
Ilaria Centili,1,SPQROpen2022,ongoing,50
Flavio Giannetti,1,SPQROpen2022,ongoing,50
Roberto Zanetti,1,SPQROpen2022,ongoing,50
Carlo Barbieri,1,SPQROpen2022,ongoing,50
Nicolas Pascucci,1,SPQROpen2022,ongoing,50
Giulia Nastro,1,SPQROpen2022,ongoing,50
Flavio Orlandini,1,SPQROpen2022,ongoing,50
Nicolo David Lodato,1,SPQROpen2022,ongoing,50
Daniele De Crescenzo,1,SPQROpen2022,ongoing,50
Cristian Papa,1,SPQROpen2022,ongoing,50
Marco Timperi,1,SPQROpen2022,ongoing,50
Brando Borrelli,1,SPQROpen2022,ongoing,50
Guglielmo Saletnich,1,SPQROpen2022,ongoing,50
Stefano Pontiroli,1,SPQROpen2022,ongoing,50
Gabriele Guidoni,1,SPQROpen2022,ongoing,50
Manuel Spasiano,1,SPQROpen2022,ongoing,50
Andrea Maltese,1,SPQROpen2022,ongoing,50
Beatrice Angeleri,1,PesaroOpen2022,OneLookinginCavarzere2022,42
Dante Giovagnoli,1,PesaroOpen2022,ongoing,120
Alberto Infantino,1,RoadtoICMilano2019,ongoing,981
Giorgia Sani,1,PesaroOpen2022,ongoing,120
Lorenzo Rainò,1,SalentoCubingOpen2020,ongoing,904
Gabriele De Pascalis,1,SalentoCubingOpen2020,ongoing,904
Luca Saracino,1,SalentoCubingOpen2020,ongoing,904
João Pedro Antonucci Rezende,1,SalentoCubingOpen2020,ongoing,904
Gianluca Monopoli,1,SalentoCubingOpen2020,ongoing,904
Giuseppe Calandrino,1,SalentoCubingOpen2020,ongoing,904
Riccardo Perrone,1,SalentoCubingOpen2020,ongoing,904
Matteo Buttazzo,1,SalentoCubingOpen2020,ongoing,904
Monica Suraci,1,SalentoCubingOpen2020,ongoing,904
Francesco Riccardi,1,SalentoCubingOpen2020,ongoing,904
Filippo Maria Travisani,1,SalentoCubingOpen2020,ongoing,904
Riccardo Martorana,1,SwisscubingCupI2020,ongoing,904
Arianna Forte,1,SalentoCubingOpen2020,ongoing,904
Vanessa Chimienti,1,SalentoCubingOpen2020,ongoing,904
Carmine Mattia Marino,1,SalentoCubingOpen2020,ongoing,904
Michele Doronzo,1,SalentoCubingOpen2020,ongoing,904
Loris Mantini,1,SalentoCubingOpen2020,ongoing,904
Fabrizio De Matteis,1,SalentoCubingOpen2020,ongoing,904
Federico Apollaro,1,SalentoCubingOpen2020,ongoing,904
Giuseppe Pezzolla,1,SalentoCubingOpen2020,ongoing,904
Simone Yuji Gubbini,1,GuildfordOpen2020,ongoing,890
Alessandro Favilli,1,GhanaChampionship2020,ongoing,869
Stefano Pegoraro,1,BolognaWinterMadness2020,ongoing,862
Filippo Nuzzoli,1,SalentoCubingOpen2020,ongoing,904
Ara Giaquinto,1,MalaysiaCubeChampionship2019,ongoing,947
Ines Federspieler,1,MunichOpen2019,TirolOpen2019,42
Samuele Madau,1,ItalianChampionship2019,FMCItaly2021,771
Marco Bulletti,1,RoadtoICMilano2019,ongoing,981
Giulio Martini,1,RoadtoICMilano2019,ongoing,981
Mauro D'Alanno,1,RoadtoICMilano2019,ongoing,981
Nicolò Cretti,1,RoadtoICMilano2019,ongoing,981
Dennis Correro,1,RoadtoICMilano2019,ongoing,981
Francesco Beraghi,1,RoadtoICMilano2019,ongoing,981
Nil Arnés Iranzo,1,RoadtoICMilano2019,ongoing,981
Mario Mormile,1,RoadtoICMilano2019,ongoing,981
Giacomo Scortecci,1,RoadtoICMilano2019,ongoing,981
Ludovico Martinelli,1,RoadtoICMilano2019,ongoing,981
Gianpaolo Miranda,1,ItalianChampionship2019,ongoing,968
Marco Ponzio,1,ItalianChampionship2019,ongoing,968
Giorgio Constantino Buruian,1,ItalianChampionship2019,ongoing,968
Christian Tiziani,1,ItalianChampionship2019,ongoing,968
Leonardo Canello,1,ItalianChampionship2019,ongoing,968
Daniele Parini,1,ItalianChampionship2019,ongoing,968
Luca Rossin,1,ItalianChampionship2019,ongoing,968
Noam Lenarduzzi,1,ItalianChampionship2019,ongoing,968
Lorenzo Pagan,1,ItalianChampionship2019,ongoing,968
Matteo Rigoni,1,ItalianChampionship2019,ongoing,968
Alessio Sarti,1,ItalianChampionship2019,ongoing,968
Davide Fortin,1,ItalianChampionship2019,ongoing,968
Dario Santucci,1,BolognaWinterMadness2020,ongoing,862
Alessio Trombin,1,BolognaWinterMadness2020,ongoing,862
Alessandro Ioio',1,BolognaWinterMadness2020,ongoing,862
Federico Trevenzuoli Rudatis,1,BolognaNewYear2022,ongoing,175
Stella Biggi,1,ItalianChampionship2021,ongoing,239
Roberto Tammaro,1,ItalianChampionship2021,ongoing,239
Marco Lackovic,1,EstonianOpen2021,ongoing,239
Riccardo Perali,1,ItalianChampionship2021,ongoing,239
Alessandro Rendina,1,ItalianChampionship2021,ongoing,239
Bianca Arvia,1,ItalianChampionship2021,ongoing,239
Mikael Fiore,1,ItalianChampionship2021,ongoing,239
Claudio Somigliana,1,TicinoOpenSaturday2021,ongoing,232
Leone Misitano,1,TicinoOpenSunday2021,ongoing,231
Tommaso Poggi,1,BolognaNewYear2022,ongoing,175
Ryan Kovacs,1,EmpireStateWinterA2022,ongoing,162
Lorenzo Caraffa,1,ItalianChampionship2021,ongoing,239
Francesco Musacchio,1,PaladiamanteOpen2022,ongoing,155
Valentina Ferrari,1,PaladiamanteOpen2022,ongoing,155
Luca Chiandotto,1,PoliMiMentalBreakdown2022,ongoing,134
Nicole Abdelmesih,1,AKMeetsSpeedcubing2022,ongoing,43
Lorenzo Meneguz,1,PesaroOpen2022,ongoing,120
Lorenzo Pedrazzi,1,PesaroOpen2022,ongoing,120
Alessandro Dell'Orletta,1,PesaroOpen2022,ongoing,120
Giulia Bonora,1,PesaroOpen2022,ongoing,120
Giovanni Sani,1,PesaroOpen2022,ongoing,120
Carlo Contardi,1,PesaroOpen2022,ongoing,120
Riccardo Leone Pasqui,1,ItalianChampionship2021,ongoing,239
Giuseppe Carrubba,1,ItalianChampionship2021,ongoing,239
Ryusei Marignani,1,BolognaWinterMadness2020,ongoing,862
Mosè Filippo Lancellotti,1,BolognaBackfromHolidays2021,ongoing,302
Gianluca De Lucia,1,BolognaWinterMadness2020,ongoing,862
Simon Paris,1,ManausPlazaOpen2020,ongoing,834
Andrea Lazzarin,1,MarrickvilleAutumnSaturday2021,ongoing,400
Veronica Vailati,1,BolognaSummerOpen2021,ongoing,330
Nicola Lucesoli,1,BolognaSummerOpen2021,ongoing,330
Massimo Pavoni,1,BolognaSummerOpen2021,ongoing,330
Francesco Longo,1,BolognaBackfromHolidays2021,ongoing,302
Giulio Improta,1,BolognaBackfromHolidays2021,ongoing,302
Johnny Salaroli,1,BolognaBackfromHolidays2021,ongoing,302
Giacomo Rosini,1,BolognaBackfromHolidays2021,ongoing,302
Noemi Hueber,1,BolognaBackfromHolidays2021,ongoing,302
Francesco Vetrano,1,ItalianChampionship2021,FMCItaly2021,42
Tommaso Perli,1,BolognaBackfromHolidays2021,ongoing,302
Damiano Cova,1,BolognaBackfromHolidays2021,ongoing,302
Federico Santandrea,1,BolognaBackfromHolidays2021,ongoing,302
Denis Malvezzi,1,BolognaBackfromHolidays2021,ongoing,302
Luca Pasquale Russo,1,BolognaNxNSpring2019,ongoing,1177
Simone Giardili,1,ItalianChampionship2021,ongoing,239
Riccardo Galluccio,1,ItalianChampionship2021,ongoing,239
Luca Currò,1,ItalianChampionship2021,ongoing,239
Jessy Ala,1,ItalianChampionship2021,ongoing,239
Francesco Nicoletti,1,ItalianChampionship2021,ongoing,239
Samuele Gulino,1,ItalianChampionship2021,ongoing,239
Alessandro Allegra,1,EtnaOpen2018,ongoing,1625
Riccardo Borsani,1,BolognaNxNSpring2019,ongoing,1177
Davide Evangelista,1,MonticelloOpen2015,ongoing,2633
Martina Piola,1,BigCubingItaly2014,ongoing,2948
Emanuela Panebianco,1,BigCubingItaly2014,ongoing,2948
Tommaso Magelli,1,BigCubingItaly2014,ongoing,2948
Lorenzo Ercoli,1,NoParityOpen2014,ongoing,2927
Alessandro Tonelli,1,NoParityOpen2014,ongoing,2927
Manuel Patriarca,1,BugellaOpen2014,ongoing,2850
Matteo Danelutti,1,BugellaOpen2014,ongoing,2850
Jessica Mercandino,1,BugellaOpen2014,ongoing,2850
Kevin Ripamonti,1,DesioRubiksAce2014,ongoing,2842
Vittorio Ostorero,1,DesioRubiksAce2014,ongoing,2842
Federico Pappani,1,DesioRubiksAce2014,ongoing,2842
Giulio De Meo,1,EretumOpen2014,ongoing,2793
Alessia Pinto,1,PlatformOpen2014,ongoing,2779
Amel Silnović,1,RespighiOpen2014,ongoing,2773
Federico Gerli,1,PoliMiItalianOpen2014,ongoing,2752
Umberto Corsi,1,PoliMiItalianOpen2014,ongoing,2752
Rebecca Marchizza,1,PoliMiItalianOpen2014,ongoing,2752
Carlo Ravizzoli,1,PoliMiItalianOpen2014,ongoing,2752
Stefano Ferrari,1,XianNewYear2015,XianCherryBlossom2015,92
Jack Hu,1,DuevilleOpen2015,ongoing,2681
Philip Ciuca,1,DuevilleOpen2015,ongoing,2681
Fabio Covito,1,SmallCubingItaly2015,ongoing,2660
Emanuele Pintus,1,MonticelloOpen2015,ongoing,2633
Giacomo Pizzi,1,LegnanoOpen2014,ongoing,2955
Manuel Andreotti,1,ItalianChampionship2014,ongoing,2969
Claudio Martone,1,ItalianChampionship2014,ongoing,2969
Annarita Fusco,1,SalernoWinterOpen2013,ongoing,3108
Ilaria Accorsi,1,MonticelloConteOtto2013,ongoing,3354
Davide Scipioni,1,MonticelloConteOtto2013,ongoing,3354
Luigi Moretti,1,MonticelloConteOtto2013,ongoing,3354
Nicolas Gagliardi,1,FlorenceFantastic2013,ongoing,3332
Marco Lazzarin,1,MilanBlindDay2013,ongoing,3214
Daniele Venier,1,FlorenceOpen2013,BigCubingItaly2013,13
Elia Roma,1,BigCubingItaly2013,ongoing,3186
Davide Ferrara,1,LegnanoOpen2013,ongoing,3158
Federico De Benedetto,1,ItalianOpen2013,ongoing,3130
Francesco Cappelletti,1,ItalianOpen2013,ongoing,3130
Beatrice Moneta,1,SmallCubingItaly2014,ongoing,3031
Francesco Sportelli Erik,1,ItalianChampionship2014,ongoing,2969
Brando Chiarella,1,SmallCubingItaly2014,ongoing,3031
Limin Hu,1,MonticelloConteOtto2014,ongoing,3011
Yuri Pegoraro,1,MonticelloConteOtto2014,ongoing,3011
Davide Scognamiglio,1,MonticelloConteOtto2014,ongoing,3011
Marco Dal Gazzo,1,MonticelloConteOtto2014,ongoing,3011
Ivan Milocco,1,MonticelloConteOtto2014,ongoing,3011
Gianpaolo Di Nino,1,ItalianChampionship2014,ongoing,2969
Chiara Spagnoli,1,ItalianChampionship2014,ongoing,2969
Alessio Cocira,1,ItalianChampionship2014,ongoing,2969
Ginevra Malatesta,1,ItalianChampionship2014,ongoing,2969
Luca Gensini,1,MonticelloOpen2015,ongoing,2633
Andrea Nicoletti,1,MonticelloOpen2015,ongoing,2633
Giacomo Anerdi,1,CannesOpen2013,ongoing,3403
Federico Rossa,1,MonticelloOpen2015,ongoing,2633
Riccardo Testa,1,MilanSlamOpen2016,ongoing,2296
Alessandro Zavaglia,1,MilanSlamOpen2016,ongoing,2296
Giovanni Volta,1,MilanSlamOpen2016,ongoing,2296
Vico De Nadai,1,MilanSlamOpen2016,ongoing,2296
Gabriele Spedicato,1,ApuliaOpen2016,ongoing,2275
Francesco Tanzarella,1,ApuliaOpen2016,ongoing,2275
Marina Colucci,1,ApuliaOpen2016,ongoing,2275
Matteo Buccoliero,1,ApuliaOpen2016,ongoing,2275
Roberto Fantini Perullo,1,SmallCubingitaly2016,ongoing,2261
Gianbattista Lucarelli,1,XianSummer2016,ongoing,2240
Lorenzo Di Tore,1,FlorenceRubiksCubeOpen2016,ongoing,2219
Arianna Greco,1,FlorenceRubiksCubeOpen2016,ongoing,2219
Antonio Mari,1,RomeSummerOpen2016,ongoing,2163
Giovanni Morandi,1,MilanSummerOpen2016,ongoing,2156
Nicolò Taricco,1,MilanSummerOpen2016,ongoing,2156
Luca Finocchio,1,ItalianChampionship2016,ongoing,2087
Simone Ripamonti,1,ItalianChampionship2016,ongoing,2087
Valeria Balini,1,ItalianChampionship2016,ongoing,2087
Jessica Arrigoni,1,ItalianChampionship2016,ongoing,2087
Matteo Sanità,1,PoliMiOpen2016,ongoing,2031
Federico Tassone,1,PoliMiOpen2016,ongoing,2031
Gaia Sanità,1,PoliMiOpen2016,ongoing,2031
Johannes Innerhofer,1,CapeTown2016,ongoing,2030
Emanuele Musso,1,MilanSlamOpen2016,ongoing,2296
Matteo Damiano,1,MilanSlamOpen2016,ongoing,2296
Valerio Damiano,1,MilanSlamOpen2016,ongoing,2296
Riccardo Fina,1,ItalianOpen2015,ongoing,2395
Gabriele Garagnani,1,ItalianChampionship2015,ongoing,2493
Alessio Legori,1,ItalianChampionship2015,ongoing,2493
Valerio Venanzi,1,ItalianChampionship2015,ongoing,2493
Michele Marinucci,1,ItalianChampionship2015,ongoing,2493
Greta Damo,1,MilanCubeDays2015,ongoing,2472
Camilla Tombari,1,AustralianNationals2015,ongoing,2458
Lorenzo Ricci,1,MonterotondoOpen2015,ongoing,2444
Daria Bilokon,1,MunichOpen2015,ongoing,2430
Davide Grandi,1,ItalianOpen2015,ongoing,2395
Alex Amadei,1,ItalianOpen2015,ongoing,2395
Carlo Vignotto,1,ItalianOpen2015,ongoing,2395
Manuel Sordi,1,MilanSlamOpen2016,ongoing,2296
Jacopo Pio Gargano,1,ItalianOpen2015,ongoing,2395
Giuseppe Ovidio,1,CapodriseOpen2016,ongoing,2366
Michele Ovidio,1,CapodriseOpen2016,ongoing,2366
Alessio Amoroso,1,CapodriseOpen2016,ongoing,2366
Carolina Piccolella,1,CapodriseOpen2016,ongoing,2366
Giuseppe D'Ambrosio,1,CapodriseOpen2016,ongoing,2366
Alessandro Grillo,1,CapodriseOpen2016,ongoing,2366
Leonardo D'Amato,1,BerkeleyWinter2016,ongoing,2318
Pasquale Scalise,1,RomeSlamOpen2016,ongoing,2296
Laura Passafiume,1,RomeSlamOpen2016,ongoing,2296
Lorenzo D'angelo,1,ItalianChampionship2013,ongoing,3396
Samuel Inhofer,1,CannesOpen2013,ongoing,3403
Dario Signorello,1,EtnaOpen2016,ongoing,2016
Nicolò Monica,1,CubeNRoll2010,ongoing,4404
Nicola Formentin,1,ObeiObeiOpen2009,ongoing,4584
Giacomo Cerutti,1,ObeiObeiOpen2009,ongoing,4584
Andrea Zamuner Cervi,1,ObeiObeiOpen2009,ongoing,4584
Jury Mastrangelo,1,ObeiObeiOpen2009,ongoing,4584
Alessio Sartori,1,ObeiObeiOpen2009,ongoing,4584
Stefano Savastano,1,SouthItalianOpen2009,ongoing,4562
Marco Fiore,1,SouthItalianOpen2009,ongoing,4562
Luigi Borzillo,1,SouthItalianOpen2009,ongoing,4562
Gianluca Muscò,1,SouthItalianOpen2009,ongoing,4562
Davide Cistulli,1,SouthItalianOpen2009,ongoing,4562
Rita Simone,1,SouthItalianOpen2009,ongoing,4562
Mauro Losciale,1,SouthItalianOpen2009,ongoing,4562
Alessio Rendina,1,SouthItalianOpen2009,ongoing,4562
Francesco Curatolo,1,SouthItalianOpen2009,ongoing,4562
Nicola Mastronicola,1,SouthItalianOpen2009,ongoing,4562
Ivan Fraioli,1,MilanCubeDay2010,ongoing,4494
Riccardo Rollone,1,MilanCubeDay2010,ongoing,4494
Marco Specchia,1,MilanCubeDay2010,ongoing,4494
Giorgio Riccobono,1,MilanCubeDay2010,ongoing,4494
Davide Liuzzo,1,MilanBLDDay2010,HalloweenOpen2010,189
Valerio Facchini,1,RomaOpen2010,ongoing,4431
Paolo Pellegrino,1,RomaOpen2010,ongoing,4431
Thomas Topini,1,CubeNRoll2010,ongoing,4404
Elsa Greggio,1,MantuaOpen2009,ongoing,4663
Alberto Bazzucco,1,MantuaOpen2009,ongoing,4663
Antonio Pirro,1,MantuaOpen2009,ongoing,4663
Alice Vigani,1,ItalianOpen2009,ongoing,4880
Ikor Pino,1,Euro2006,ongoing,5755
Davide Lettieri,1,ItalianOpen2007,ongoing,5510
Nicola Principe,1,SwedishCubeDay2007,ongoing,5307
Jacopo Roncelli,1,ItalianOpen2008,ongoing,5118
Martina Alba,1,ItalianOpen2008,ongoing,5118
Lorenzo Valerio Cogo,1,ItalianOpen2008,ongoing,5118
Alex Cipriani,1,GenevaOpen2008,ongoing,4978
Lucrezia Locatelli,1,ItalianOpen2009,ongoing,4880
Francesco Langiulli,1,ItalianOpen2009,ongoing,4880
Alessandro Trapani,1,ItalianOpen2009,ongoing,4880
Nicola Francesco Polino,1,ItalianOpen2009,ongoing,4880
Michele Pisani,1,MantuaOpen2009,ongoing,4663
Alessandro Flati,1,ItalianOpen2009,ongoing,4880
Franco Alessandro Briccoli,1,ItalianOpen2009,ongoing,4880
Michele Ongis,1,ItalianOpen2009,ongoing,4880
Francesca Argenta,1,ItalianOpen2009,ongoing,4880
Giorgio Vinetti,1,ItalianOpen2009,ongoing,4880
Marco D'Addezio,1,MantuaOpen2009,ongoing,4663
Alessandro Turano,1,MantuaOpen2009,ongoing,4663
Simone Saccani,1,MantuaOpen2009,ongoing,4663
Aurelio Amerio,1,MantuaOpen2009,ongoing,4663
Matthias Kaserer,1,MantuaOpen2009,ongoing,4663
Roberta Ciampi,1,CubeNRoll2010,ongoing,4404
Lorenzo Santaroli,1,MediolanumOpen2010,ongoing,4305
Pietro Gorilskij,1,CannesOpen2013,ongoing,3403
Gaetano Valentino,1,FlorenceOpen2010,ongoing,4285
Giovanni Marchetti,1,RomaWinterOpen2011,ongoing,3850
Sadid Ayoub,1,MantuaWinter2011,ongoing,3844
Simone Vendramin,1,MantuaWinter2011,ongoing,3844
Fabio Prencipe,1,MilanCubeOpen2012,ongoing,3760
Stefano Parisotto,1,SchioOpen2012,ongoing,3738
Giovanni Angarola,1,TiburtinaeOpen2012,ongoing,3724
Tito Cisbani,1,ItalianOpen2012,ongoing,3669
Vera Cisbani,1,ItalianOpen2012,ongoing,3669
Luca Contardi,1,ItalianOpen2012,ongoing,3669
Angelo Zuppa,1,BeneventumOpen2012,ongoing,3619
Giuliano Mazzone,1,BeneventumOpen2012,ongoing,3619
Silvia Gaudiello,1,BeneventumOpen2012,ongoing,3619
Eugenio Bonetti,1,BeneventumOpen2012,ongoing,3619
Simone Martinotti,1,MilanBlindDay2012,ongoing,3550
Mauro Carminati,1,MilanBlindDay2012,ongoing,3550
Valeria Mazzola,1,MilanBlindDay2012,ongoing,3550
Emanuele Tempra,1,MilanBlindDay2012,PoliMiItalianOpen2014,798
Francesco Perinti,1,MilanBlindDay2012,ongoing,3550
Dennis Mascia,1,VCubeSpiel2012,ongoing,3536
Loris Topa,1,SinuessaOpen2012,ongoing,3514
Zeno Dall'Acqua,1,SinuessaOpen2012,ongoing,3514
Federico Papa,1,ItalianChampionship2012,ongoing,3487
Eros Trevisiol,1,MilanWinterOpen2013,ongoing,3452
Alessandro Buono,1,RomaWinterOpen2011,ItalianChampionship2012,363
Stefania Sartori,1,TrentinOpen2011,ongoing,3879
Giovanni Razzino,1,TrentinOpen2011,ongoing,3879
Massimiliano Mongiu,1,RomaOpen2011,ongoing,4068
Thomas Carli,1,MunichOpen2010,ongoing,4278
Segu Niccolò,1,MantuaOpen2010,ongoing,4271
Simone Ghisu,1,HalloweenOpen2010,ongoing,4256
Claudio Centrone,1,LOLSouthItalianOpen2010,ongoing,4199
Valerio Scisci,1,LOLSouthItalianOpen2010,ongoing,4199
Davide Lapadula,1,ItalianChampionship2011,ongoing,4084
Umberto Lasco,1,MilanCubeOpen2011,PoliMiItalianOpen2014,1379
Alfredo Libertini,1,MantuaSpring2011,ongoing,4124
Ferruccio Ghizzi,1,MantuaSpring2011,ongoing,4124
Gabriele Duchi,1,RomaOpen2011,ongoing,4068
Antonio Troiano,1,RomaOpen2011,ItalianChampionship2012,581
Gabriele Manfrini,1,TrentinOpen2011,ongoing,3879
Luigina Porco,1,RomaOpen2011,ongoing,4068
Francesco Sangalli,1,BigCubingItalyOpen2011,ongoing,4033
Gianmarco Lusvardi,1,BigCubingItalyOpen2011,ongoing,4033
Leonardo Demutti,1,BigCubingItalyOpen2011,ongoing,4033
Lorenzo Simonetti,1,BigCubingItalyOpen2011,ongoing,4033
Marco Guidi,1,BigCubingItalyOpen2011,ongoing,4033
Luca Bianchi,1,VenetoOpen2011,ongoing,4005
Nicola Thevenet,1,VenetoOpen2011,ongoing,4005
Fabio Moscatiello,1,MilanBlindDay2011,ongoing,3948
Marco Tanfoni,1,ItalianOpen2011,ongoing,3921
Luca Parmeggiani,1,BolognaNxNSpring2019,ongoing,1177
Marco Senna,1,EtnaOpen2016,ongoing,2016
Dario Tona,1,EtnaOpen2016,ongoing,2016
Alessandro Monti,1,ItalianOpen2018,ongoing,1387
Gabriele Buzzi,1,ItalianChampionship2018,ongoing,1332
Nicholas Cattaneo,1,TuscanyOpen2018,ongoing,1296
Marco Malorgio,1,TuscanyOpen2018,ongoing,1296
Luca Pezzano,1,TuscanyOpen2018,ongoing,1296
Luca Gaddini,1,TuscanyOpen2018,ongoing,1296
Pietro Zagagnoni,1,TuscanyOpen2018,ongoing,1296
Raffaele Martini,1,TuscanyOpen2018,ongoing,1296
Tommaso Salvitti,1,TuscanyOpen2018,ongoing,1296
Zeno Maccari,1,TuscanyOpen2018,ongoing,1296
Cristian Pierferdinando De Rito,1,TuscanyOpen2018,ongoing,1296
Damiano Bordoni,1,TuscanyOpen2018,ongoing,1296
Camilla Bianchini,1,TuscanyOpen2018,ongoing,1296
Emilio Mastria,1,TuscanyOpen2018,ongoing,1296
Andrea Garbellini,1,TuscanyOpen2018,ongoing,1296
Alessandro Coturni,1,TuscanyOpen2018,ongoing,1296
Alessandro Bicorgni,1,TuscanyOpen2018,ongoing,1296
Alessandro Aloi,1,TuscanyOpen2018,ongoing,1296
Alessio Gaddi,1,TuscanyOpen2018,ongoing,1296
Giuseppe Masini,1,TuscanyOpen2018,ongoing,1296
Lorenzo Vagnoni,1,TuscanyOpen2018,ongoing,1296
Lorenzo Pinnone,1,TuscanyOpen2018,ongoing,1296
Lorenzo Mazzuoli,1,TuscanyOpen2018,ongoing,1296
Erik Giacomelli,1,TuscanyOpen2018,ongoing,1296
Giacomo Calcaterra,1,ItalianChampionship2018,ongoing,1332
Francesco Forte,1,ItalianChampionship2018,ongoing,1332
Flavio Sperandeo,1,ItalianChampionship2018,ongoing,1332
Mauro del Viscovo,1,ItalianChampionship2018,ongoing,1332
Luigi Riccio,1,SicilyOpen2018,ongoing,1359
Pietro Fugazzotto,1,SicilyOpen2018,ongoing,1359
Pietro Cucinotta,1,SicilyOpen2018,ongoing,1359
Lucrezia Aiello,1,SicilyOpen2018,ongoing,1359
Davide Ruggero,1,SicilyOpen2018,ongoing,1359
Andrea Clementi,1,SicilyOpen2018,ongoing,1359
Diego Antonino Caligiore,1,SicilyOpen2018,ongoing,1359
Giuseppe Marcellino,1,SicilyOpen2018,ongoing,1359
Flavia Fangano,1,SicilyOpen2018,ongoing,1359
Francesco Marcellino,1,SicilyOpen2018,ongoing,1359
Massimo Perelli,1,ItalianChampionship2018,ongoing,1332
Giovanni Artini,1,ItalianChampionship2018,ongoing,1332
Matteo Lupoi,1,ItalianChampionship2018,ongoing,1332
Mattia Campione,1,ItalianChampionship2018,ongoing,1332
Paolo Muzzi,1,ItalianChampionship2018,ongoing,1332
Patrizio Di Meo,1,ItalianChampionship2018,ongoing,1332
Mario Di Carlo,1,ItalianChampionship2018,ongoing,1332
Ludovico Sergiacomi,1,ItalianChampionship2018,ongoing,1332
Pietro Molaioni,1,ItalianChampionship2018,ongoing,1332
Clara Spezzi,1,ItalianChampionship2018,ongoing,1332
Adriano Oliviero,1,ItalianChampionship2018,ongoing,1332
Andrea Mascaro,1,ItalianChampionship2018,ongoing,1332
Flavio Surya Rossi,1,TuscanyOpen2018,ongoing,1296
Simone Rizzo,1,BigCubingItaly2018,ongoing,1289
Daniele Vretenar,1,BigCubingItaly2018,ongoing,1289
Alessio Alfonsi,1,BolognaNxNSpring2019,ongoing,1177
Cristian Cinieri,1,CalabrianOpen2019,ongoing,1212
Antonio Durante,1,CalabrianOpen2019,ongoing,1212
Francesco Pio Monteleone,1,CalabrianOpen2019,ongoing,1212
Matteo Fantasia,1,CalabrianOpen2019,ongoing,1212
Carlo Arnone,1,CalabrianOpen2019,ongoing,1212
Alberto Dominijanni,1,CalabrianOpen2019,ongoing,1212
Alessio Caligiuri,1,CalabrianOpen2019,ongoing,1212
Pietro Caligiuri,1,CalabrianOpen2019,ongoing,1212
Valerio Battistini,1,CalabrianOpen2019,ongoing,1212
Lio Tarquino,1,BudapestOpen2019,ongoing,1184
Ivan Acierno,1,BolognaNxNSpring2019,ongoing,1177
Martina D'Amante,1,CalabrianOpen2019,ongoing,1212
Alessio Guerra,1,BolognaNxNSpring2019,ongoing,1177
Leonardo Benedetti,1,BolognaNxNSpring2019,ongoing,1177
Giovanni Casagrande,1,BolognaNxNSpring2019,ongoing,1177
Francesco Malaguti,1,BolognaNxNSpring2019,ongoing,1177
Lorenzo Dalle Fratte,1,BolognaNxNSpring2019,ongoing,1177
Matteo Bonino,1,BolognaNxNSpring2019,ongoing,1177
Tommaso Palladini,1,BolognaNxNSpring2019,ongoing,1177
Niccolò Infante,1,BolognaNxNSpring2019,ongoing,1177
Samuele Baldi,1,BolognaNxNSpring2019,ongoing,1177
Leonardo Pollini,1,BolognaNxNSpring2019,ongoing,1177
Pietro Macrì,1,CalabrianOpen2019,ongoing,1212
Salvatore Plaia,1,CalabrianOpen2019,ongoing,1212
Alex D'Amato,1,BigCubingItaly2018,ongoing,1289
Jacopo Chiogna,1,TurinWinterOpen2019,ongoing,1261
Giuseppe Miccoli,1,BigCubingItaly2018,ongoing,1289
Kevin Juvany,1,BigCubingItaly2018,ongoing,1289
Isac Trentini,1,BigCubingItaly2018,ongoing,1289
Mattia Gianotti,1,TurinWinterOpen2019,ongoing,1261
Marco Ubino,1,TurinWinterOpen2019,ongoing,1261
Stefano Lo Vecchio,1,TurinWinterOpen2019,ongoing,1261
Walter Delvillani,1,TurinWinterOpen2019,ongoing,1261
Daniele Mulliri,1,TurinWinterOpen2019,ongoing,1261
Eleonora Verdigi,1,TurinWinterOpen2019,ongoing,1261
Alessandro Morina,1,TurinWinterOpen2019,ongoing,1261
Riccardo Raimondi-Cominesi,1,MantuaWinter2019,ongoing,1226
Lorenzo Assiro,1,CalabrianOpen2019,ongoing,1212
Andrea Smaniotto,1,MantuaWinter2019,ongoing,1226
Davide Aime,1,MantuaWinter2019,ongoing,1226
Simone Belladelli,1,MantuaWinter2019,ongoing,1226
Andrea De Paolis,1,MantuaWinter2019,ongoing,1226
Samuele Gesini,1,MantuaWinter2019,ongoing,1226
Vincenzo Magliulo,1,CalabrianOpen2019,ongoing,1212
